crawling_id,title,content,article_url,map_id,shop_id,category_cd,information_cd,shop_cd,created_dt,sentimental,score,keywords
353,Review - 정화식당,정감가득한 식당입니다 동네맛집인지 점심에 사람 바글바글해요 오징어볶음 정말 맛있습니다,"<a href=""https://www.diningcode.com/profile.php?rid=6aWyYNteKqMY"">Review - 정화식당</a> ",1,1,CA01,IC01,SC01,2026-05-08 10:32,positive,0.9747,#정감가득한 식당#오징어볶음 정말 맛있습니다
354,Review - 정화식당,십년째 강릉 여행의 루틴으로 찾는 곳. 웨이팅은 길었지만 맛은 여전해요.,"<a href=""https://www.diningcode.com/profile.php?rid=6aWyYNteKqMY"">Review - 정화식당</a> ",1,1,CA01,IC01,SC01,2026-05-08 10:32,positive,0.776,#십년째 찾는 곳#맛은 여전해요
355,Review - 정화식당,친구들이 너무 맛있다고 추천해서 갔는데 제 입맛에는 달았지만 자극적인 맛을 좋아하시는 분들은 한번쯤 추천합니다,"<a href=""https://www.diningcode.com/profile.php?rid=6aWyYNteKqMY"">Review - 정화식당</a> ",1,1,CA01,IC01,SC01,2026-05-08 10:32,positive,0.8007,#맛있다고 추천해서#한번쯤 추천합니다
356,Review - 정화식당,주말방문은 무조건 웨이팅 있는 곳 입니다 저녁8시전에 재료 소진으로 옆테이블은 못드시더라구요 일단 갈치조림이 진짜 밥도둑이에요 강릉최고 맛집 제육볶음은 좀 달아요 좁고 정신없긴합니다,"<a href=""https://www.diningcode.com/profile.php?rid=6aWyYNteKqMY"">Review - 정화식당</a> ",1,1,CA01,IC01,SC01,2026-05-08 10:32,negative,0.8902,#웨이팅 있는 곳#재료 소진#좀 달아요#좁고 정신없긴합니다
357,Review - 정화식당,살짝 시큼 했지만 꽤 맛있었던 식당가격도 저렴하여 가성비가 괜찮다하지만 직원께서는 영업 시간이 얼마 남지 않다며눈치를 주어 마지막에 밥 맛이 떨어짐,"<a href=""https://www.diningcode.com/profile.php?rid=6aWyYNteKqMY"">Review - 정화식당</a> ",1,1,CA01,IC01,SC01,2026-05-08 10:32,negative,0.9343,#눈치를 주어#밥 맛이 떨어짐
358,Review - 정화식당,현지인의 맛집이지만 이젠 관광객도 많이 가는 가정식집! 갈치조림이랑 오징어볶음 모두 양념이 감칠맛이 있어서 밥한그릇 뚝딱이에요!!!,"<a href=""https://www.diningcode.com/profile.php?rid=6aWyYNteKqMY"">Review - 정화식당</a> ",1,1,CA01,IC01,SC01,2026-05-08 10:32,positive,0.9081,#감칠맛이 있어서#밥한그릇 뚝딱이에요
359,Review - 정화식당,강릉 현지인들이 추천하는 로컬 식당~갈치조림이 저렴하고 맛있구요. 밑반찬이 깔끔제육도 괜찮았구요~밥한공기 뚝딱하게 돼요 ㅎ주차 안되서 근처 공용에 주차해야하고오후 2시 30분부터 5시까지인가 브레이크타임있어서 시간 확인하셔야해요,"<a href=""https://www.diningcode.com/profile.php?rid=6aWyYNteKqMY"">Review - 정화식당</a> ",1,1,CA01,IC01,SC01,2026-05-08 10:32,negative,0.5918,#주차 안되서#브레이크타임있어서#시간 확인하셔야해요
360,Review - 정화식당,"강릉의 현지인 맛집. 갈치조림과 오징어볶음이 유명합니다. 2인분씩 주문이 가능해 갈치조림을 주문.(나중에 검색해보니 갈치2인분+오징어볶음1인분 가능하다하네요ㅜㅜ)두툼한 갈치임에도 양념이 속까지 잘 베어있습니다. 무도 마찬가지구요. 감자까지해서 싹싹 긁어 먹고 왔네요.갈치 살도, 양도 많고 맛있어서 만족한 식사였습니다.백반집이라 밑반찬도 괜찮았습니다. 다만, 간이 좀 있는 편이라 싱겁게 드시는 분들은 미리 요청하시는게 좋을것 같습니다.영업시간이 아침 일찍으로 나와있던데 사장님 건강상 11시로 바뀌었다합니다. 주차 자리가 없으나 인근에 공영주차장 있습니다.재방문의사 있습니다.","<a href=""https://www.diningcode.com/profile.php?rid=6aWyYNteKqMY"">Review - 정화식당</a> ",1,1,CA01,IC01,SC01,2026-05-08 10:32,positive,0.9707,#갈치조림을 주문#양념이 속까지#맛있어서 만족한#밑반찬도 괜찮았습니다#재방문의사 있습니다
361,Review - 정화식당,강릉 맛집 중 최고라 해도 손색이 없는 식당. 갈치는 실하고 고기도 두툼함. 가장 맛있는 건 양념. 이게 진짜 밥도둑. 1인분이 안되는 건 아쉬움.,"<a href=""https://www.diningcode.com/profile.php?rid=6aWyYNteKqMY"">Review - 정화식당</a> ",1,1,CA01,IC01,SC01,2026-05-08 10:32,positive,0.5304,#강릉 맛집#실하고 고기도#진짜 밥도둑
362,Review - 정화식당,"갈치조림을 먹으면서 옆 테이블을 보다 오징이볶음을 포장해 숙소에서 먹었습니다. 갈치조람은 약간 간이 짠듯해도 먹을만 했는데, 포장해온 오징어볶음이 대박 맛있습니다. 앞으로 이 식당은 오징어볶음 먹으러 가겠습니다.","<a href=""https://www.diningcode.com/profile.php?rid=6aWyYNteKqMY"">Review - 정화식당</a> ",1,1,CA01,IC01,SC01,2026-05-08 10:32,positive,0.7575,#대박 맛있습니다#먹을만 했는데#오징어볶음 먹으러
363,Review - 정화식당,오징어 양념도 맛있어요!! 메뉴가 간단한데 맛있더라구요,"<a href=""https://www.diningcode.com/profile.php?rid=6aWyYNteKqMY"">Review - 정화식당</a> ",1,1,CA01,IC01,SC01,2026-05-08 10:32,positive,0.9681,#오징어 양념도 맛있어요#맛있더라구요
364,Review - 정화식당,2인분씩 주문가능해서 좀 아쉬워요.갈치조림도 오징어볶음도 다 먹고 싶었는데이번엔 갈치조림을 선택했습니다.갈치가 워낙 커서 먹기 편하고요. 간을 강하게 했기 때문에 큰 갈치도 아주 맛있습니다.갈치조림의 간이 강해서인지 전체적으오 밑반찬의 간도 강해요.,"<a href=""https://www.diningcode.com/profile.php?rid=6aWyYNteKqMY"">Review - 정화식당</a> ",1,1,CA01,IC01,SC01,2026-05-08 10:32,positive,0.9472,#갈치가 워낙 커서#먹기 편하고요#아주 맛있습니다
365,Review - 정화식당,"밥한끼 먹기 괜찮은 곳이네요.갈치가 훌륭하진 않지만,양이 많고, 양념이 맛있어요.가격이 저렴합니다.","<a href=""https://www.diningcode.com/profile.php?rid=6aWyYNteKqMY"">Review - 정화식당</a> ",1,1,CA01,IC01,SC01,2026-05-08 10:32,positive,0.7368,#양이 많고#양념이 맛있어요#가격이 저렴합니다
366,Review - 정화식당,주차 불편함사람은 많음메뉴는 단촐하나 맛이 일품임아주 맛있음,"<a href=""https://www.diningcode.com/profile.php?rid=6aWyYNteKqMY"">Review - 정화식당</a> ",1,1,CA01,IC01,SC01,2026-05-08 10:32,positive,0.8743,#맛이 일품임#아주 맛있음
367,Review - 정화식당,오징어볶음 소스가 정말 매콤달콤 맛있고 부드럽고 양도 많았어요!,"<a href=""https://www.diningcode.com/profile.php?rid=6aWyYNteKqMY"">Review - 정화식당</a> ",1,1,CA01,IC01,SC01,2026-05-08 10:32,positive,0.9936,#매콤달콤 맛있고#부드럽고#양도 많았어요
368,Review - 정화식당,국물이 진짜 진하더라구요~ 밥 비벼먹는데 꿀맛이었어요 ㅎㅎ 또 가려구요,"<a href=""https://www.diningcode.com/profile.php?rid=6aWyYNteKqMY"">Review - 정화식당</a> ",1,1,CA01,IC01,SC01,2026-05-08 10:32,positive,0.5642,#국물이 진짜#꿀맛이었어요#또 가려구요
369,Review - 정화식당,갈치가 살살 녹는다. 맛있다. 맛있다. 맛있다. 역시 주변 주민이 찾는 곳은 진리다,"<a href=""https://www.diningcode.com/profile.php?rid=6aWyYNteKqMY"">Review - 정화식당</a> ",1,1,CA01,IC01,SC01,2026-05-08 10:32,positive,0.8046,#갈치가 살살 녹는다#맛있다#진리다
370,Review - 정화식당,"간이 좀 세다는 평이 있는데, 괜츈했다. 음식도 빨리 나오고 찬도 괜찮았음.","<a href=""https://www.diningcode.com/profile.php?rid=6aWyYNteKqMY"">Review - 정화식당</a> ",1,1,CA01,IC01,SC01,2026-05-08 10:32,positive,0.9398,#괜츈했다#음식도 빨리 나오고#찬도 괜찮았음
371,Review - 정화식당,강릉 근본맛집 특히 갈치조림이 맛있음 추천해준사람들은 다 좋아라함,"<a href=""https://www.diningcode.com/profile.php?rid=6aWyYNteKqMY"">Review - 정화식당</a> ",1,1,CA01,IC01,SC01,2026-05-08 10:32,positive,0.7023,#근본맛집#갈치조림이 맛있음#다 좋아라함
372,Review - 정화식당,사람 혼자가서 밥먹는다고 무시하지마세요,"<a href=""https://www.diningcode.com/profile.php?rid=6aWyYNteKqMY"">Review - 정화식당</a> ",1,1,CA01,IC01,SC01,2026-05-08 10:32,negative,0.5898,#혼자가서 밥먹는다고#무시하지마세요
373,Crawl - 썬 한식 정동진 본점,,"<a href=""https://www.diningcode.com/profile.php?rid=t0wOtdiCw60Z"">Crawl - 썬 한식 정동진 본점</a> ",2,2,CA01,IC01,SC01,2026-05-08 10:32,positive,0.5076,
374,Review - 썬 한식 정동진 본점,"지역에 아시는 분이 맛있는 식당이라고 정동진 쪽으로 소개해주셔서 오게 됐는데 확실히 지역분 추천 믿고 오니. 실패 없이 맛있게 먹었습니다. 초당 순두부랑 짬뽕 순두부 먹었는데 순두부도 진짜 고소하고, 초당 순두부는 순하고 짬뽕 순두부는 불맛 나고 정말 고소하고 얼큰하게 맛있게 잘 먹었어요. 부모님 모시고 왔는데 식구들 모두 좋아해서 뿌듯하게 맛있게 잘 먹고 왔습니다정동진역이랑 가까워서 접근성도 좋고 자체적인 주차장도 널찍해서 주차도 편리하게 이용했습니다. 사장님 내외도 너무너무 친절하셔서 식사도 맛있고 기분 좋게 잘 다녀왔네요. 저도 누가 정동진 간다고 하면은 꼭 썬한식  가라고 추천할 것 같아요. 오래된 식당이라서 내공 있고 확실히 맛있습니다^^","<a href=""https://www.diningcode.com/profile.php?rid=t0wOtdiCw60Z"">Review - 썬 한식 정동진 본점</a> ",2,2,CA01,IC01,SC01,2026-05-08 10:32,positive,0.9966,#맛있게 먹었습니다#정말 고소하고#기분 좋게#내공 있고#확실히 맛있습니다
375,Review - 썬 한식 정동진 본점,홀도 넓고 음식도 빨리 나와요짬뽕이 얼큰하니 맛있는데 더 뜨듯했으면 좋겠어요 노른자가 안익어서 조금 아쉬웠어요,"<a href=""https://www.diningcode.com/profile.php?rid=t0wOtdiCw60Z"">Review - 썬 한식 정동진 본점</a> ",2,2,CA01,IC01,SC01,2026-05-08 10:32,positive,0.8377,#홀도 넓고#음식도 빨리#짬뽕이 얼큰하니 맛있는데
376,Review - 썬 한식 정동진 본점,친구들이랑 정동진 여행가서 방문했던 썬한식 추천합니당 ㅎㅎ,"<a href=""https://www.diningcode.com/profile.php?rid=t0wOtdiCw60Z"">Review - 썬 한식 정동진 본점</a> ",2,2,CA01,IC01,SC01,2026-05-08 10:32,positive,0.8962,#썬한식 추천합니당#정동진 여행가서
377,Review - 썬 한식 정동진 본점,넓고 입구 양 옆으로 방이 나눠져 있는 것 같음. 음식은 빨리 나오는데 뚝배기가 하나도 뜨겁지않아 다 먹을때까지 계란안익어서 계란못먹음;,"<a href=""https://www.diningcode.com/profile.php?rid=t0wOtdiCw60Z"">Review - 썬 한식 정동진 본점</a> ",2,2,CA01,IC01,SC01,2026-05-08 10:32,negative,0.8758,#뚝배기가 하나도 뜨겁지않아#계란안익어서#계란못먹음
378,Review - 썬 한식 정동진 본점,교회성도들단체로들렀든곳인데정말맛있어요!짬뽕순두부.순두부전골.파전.황태전골먹었음반찬정말신선하고갖이수도많고최고였음!다시오고싶은맛집인정합니다~,"<a href=""https://www.diningcode.com/profile.php?rid=t0wOtdiCw60Z"">Review - 썬 한식 정동진 본점</a> ",2,2,CA01,IC01,SC01,2026-05-08 10:32,positive,0.9969,#정말맛있어요#반찬정말신선하고#다시오고싶은맛집
379,Review - 썬 한식 정동진 본점,정동진역 인근 썬한식네이버검색으로  갔다 넘 실망순두부는 양이 턱없이 적게 나오고반찬은 사진처럼 부실한데 맛도 아쉽김치 두종류는 너무 쉬고 양념고추는 시들시들그나마 달래무침이라도 먹으려 추가요청하니 없다고...신발벗도 들어가는곳인데 카페트가 깔려있고 청소가 안되어 비위생적기분좋게 여행가서 이런식당 만나면 불쾌하죠,"<a href=""https://www.diningcode.com/profile.php?rid=t0wOtdiCw60Z"">Review - 썬 한식 정동진 본점</a> ",2,2,CA01,IC01,SC01,2026-05-08 10:32,negative,0.9846,#넘 실망#양이 턱없이 적게#맛도 아쉽#너무 쉬고#시들시들#없다고#비위생적#불쾌하죠
380,Review - 썬 한식 정동진 본점,사장님도 친절하시고 맛있었어요 밑반찬이 7가지나 나오는데 무한리필로 맛있게 먹었습니다~,"<a href=""https://www.diningcode.com/profile.php?rid=t0wOtdiCw60Z"">Review - 썬 한식 정동진 본점</a> ",2,2,CA01,IC01,SC01,2026-05-08 10:32,positive,0.9778,#사장님도 친절하시고#맛있었어요#무한리필로 맛있게
381,Review - 썬 한식 정동진 본점,친정가족들과나들이차동해안바닷가여행갔다가들런식당정말맛나요.반찬도하나하나신선하고엄마밥상,"<a href=""https://www.diningcode.com/profile.php?rid=t0wOtdiCw60Z"">Review - 썬 한식 정동진 본점</a> ",2,2,CA01,IC01,SC01,2026-05-08 10:32,negative,0.8941,#정말맛나요#신선하고엄마밥상
382,Review - 썬 한식 정동진 본점,강원도 와서 두부전골먹으려구 이곳저곳 찾다가 들어간곳인데 생각보다 너~무 맛있어서 만족스러웠습니다,"<a href=""https://www.diningcode.com/profile.php?rid=t0wOtdiCw60Z"">Review - 썬 한식 정동진 본점</a> ",2,2,CA01,IC01,SC01,2026-05-08 10:32,positive,0.9956,#너~무 맛있어서#만족스러웠습니다
383,Review - 썬 한식 정동진 본점,짬뽕순두부 불고기 돌솥비빔밥 황태해장국 너무 맛있어요 정동진을 다시오면 꼭 다시오고싶은 맛집이에요,"<a href=""https://www.diningcode.com/profile.php?rid=t0wOtdiCw60Z"">Review - 썬 한식 정동진 본점</a> ",2,2,CA01,IC01,SC01,2026-05-08 10:32,positive,0.9854,#너무 맛있어요#다시오고싶은 맛집
384,Review - 썬 한식 정동진 본점,,"<a href=""https://www.diningcode.com/profile.php?rid=t0wOtdiCw60Z"">Review - 썬 한식 정동진 본점</a> ",2,2,CA01,IC01,SC01,2026-05-08 10:32,positive,0.5076,
385,Crawl - 천일식당,,"<a href=""https://www.diningcode.com/profile.php?rid=mMHF35Sv2HN9"">Crawl - 천일식당</a> ",3,3,CA01,IC01,SC01,2026-05-08 10:32,positive,0.5076,
386,Review - 천일식당,반찬 구성도 엄청 푸짐하고세트메뉴 구성도 알차요맛도 있고 사장님 손맛 굿굿주차는 가게 앞에 하면 돼요,"<a href=""https://www.diningcode.com/profile.php?rid=mMHF35Sv2HN9"">Review - 천일식당</a> ",3,3,CA01,IC01,SC01,2026-05-08 10:32,positive,0.9568,#반찬 구성도 엄청 푸짐하고#세트메뉴 구성도 알차요#맛도 있고
387,Review - 천일식당,추운날씨에 매콤한 볶음밥과 된장찌개를 먹으니 좋네요 굿,"<a href=""https://www.diningcode.com/profile.php?rid=mMHF35Sv2HN9"">Review - 천일식당</a> ",3,3,CA01,IC01,SC01,2026-05-08 10:32,positive,0.9945,#좋네요 굿#매콤한 볶음밥#된장찌개를 먹으니
388,Review - 천일식당,들어가자마자 쿰쿰한 냄새에 조금 인상이 찡그려졌지만 마늘이 듬뿍 들어간 뽀글이 맛이 아주 매력적이다!,"<a href=""https://www.diningcode.com/profile.php?rid=mMHF35Sv2HN9"">Review - 천일식당</a> ",3,3,CA01,IC01,SC01,2026-05-08 10:32,positive,0.9885,#마늘이 듬뿍#맛이 아주 매력적이다
389,Review - 천일식당,"일단 음식은 바로바로 준비가 되는지 빠르게나왔습니다. 맛은 흔한 맛! 순두부찌게또는 된장찌게 서비스선택인데 순두부찌게는 젊은 분들 입맛은 아닌듯 합니다 전체적으로 호불호는 있을듯해요~그래도양은 적당하며,잘먹었어요","<a href=""https://www.diningcode.com/profile.php?rid=mMHF35Sv2HN9"">Review - 천일식당</a> ",3,3,CA01,IC01,SC01,2026-05-08 10:32,positive,0.706,#바로바로 준비가 되는지#빠르게나왔습니다#양은 적당하며
390,Review - 천일식당,"강릉역 근처에 위치한 식당으로 대표 메뉴인 짜글이의 경우 자극적인 맛있는 맛단, 묵은지보다 더 신맛으로 호불호가 있을 수 있는 맛","<a href=""https://www.diningcode.com/profile.php?rid=mMHF35Sv2HN9"">Review - 천일식당</a> ",3,3,CA01,IC01,SC01,2026-05-08 10:32,positive,0.8181,#자극적인 맛있는 맛단#맛있는 맛
391,Review - 천일식당,강릉에 위치한 백반 맛집 가격도 좋고 양도 푸짐하고 한끼 먹기 좋음,"<a href=""https://www.diningcode.com/profile.php?rid=mMHF35Sv2HN9"">Review - 천일식당</a> ",3,3,CA01,IC01,SC01,2026-05-08 10:32,positive,0.8102,#가격도 좋고#양도 푸짐하고#한끼 먹기 좋음
392,Review - 천일식당,메뉴선택도 다양하고 양도 푸짐하고 저렴해서 맛있게 먹었습니다 주차는 길가에 해야해요,"<a href=""https://www.diningcode.com/profile.php?rid=mMHF35Sv2HN9"">Review - 천일식당</a> ",3,3,CA01,IC01,SC01,2026-05-08 10:32,positive,0.9157,#메뉴선택도 다양하고#양도 푸짐하고#저렴해서 맛있게
393,Review - 천일식당,주차장이 있는 강릉역 로컬 맛집. 평일 낮시간에 동네 어르신이 소주까고 계신다.,"<a href=""https://www.diningcode.com/profile.php?rid=mMHF35Sv2HN9"">Review - 천일식당</a> ",3,3,CA01,IC01,SC01,2026-05-08 10:32,positive,0.7399,#주차장이 있는#강릉역 로컬 맛집#동네 어르신
394,Review - 천일식당,아침식사로 제격임김치 뽀글이는 많이 달긴 한데 밥이랑 먹으면 맛있고 찌개가 더 맛있음,"<a href=""https://www.diningcode.com/profile.php?rid=mMHF35Sv2HN9"">Review - 천일식당</a> ",3,3,CA01,IC01,SC01,2026-05-08 10:32,negative,0.7174,#많이 달긴 한데#찌개가 더 맛있음
395,Review - 천일식당,짜글이 달아요 예전엔 진짜 맛있게 먹었는데 아쉽네요 된장찌개 굳,"<a href=""https://www.diningcode.com/profile.php?rid=mMHF35Sv2HN9"">Review - 천일식당</a> ",3,3,CA01,IC01,SC01,2026-05-08 10:32,positive,0.5439,#맛있게 먹었는데#된장찌개 굳
396,Review - 천일식당,현지 로컬 식당 느낌임. 양이 꽤 많고 짜글이보단 찌개와 계란찜이 더 맛있었음.,"<a href=""https://www.diningcode.com/profile.php?rid=mMHF35Sv2HN9"">Review - 천일식당</a> ",3,3,CA01,IC01,SC01,2026-05-08 10:32,positive,0.5973,#양이 꽤 많고#찌개와 계란찜이 더 맛있었음
397,Review - 천일식당,주변 맛집 검색으로 갔는데 허름한 외관과는달리 맛이 정말 좋았습니다. 김치뽀글이 추천!,"<a href=""https://www.diningcode.com/profile.php?rid=mMHF35Sv2HN9"">Review - 천일식당</a> ",3,3,CA01,IC01,SC01,2026-05-08 10:32,positive,0.9964,#맛이 정말 좋았습니다#김치뽀글이 추천
398,Review - 천일식당,참치찌게 시켰음. 맛있는거 보면 음식이 모두  짬. 반찬까지.모두 긍정적인것만 적지 말고 객관적인 것도 적었으면 함,"<a href=""https://www.diningcode.com/profile.php?rid=mMHF35Sv2HN9"">Review - 천일식당</a> ",3,3,CA01,IC01,SC01,2026-05-08 10:32,negative,0.7827,#음식이 모두 짬#모두 긍정적인것만 적지 말고#객관적인 것도 적었으면 함
399,Crawl - 서당골산채,,"<a href=""https://www.diningcode.com/profile.php?rid=2qKrS3p6BvT2"">Crawl - 서당골산채</a> ",4,4,CA01,IC01,SC01,2026-05-08 10:32,positive,0.5076,
400,Review - 서당골산채,반찬이 정갈하고 가짓수도 많으면서 하나하나 맛있었어요! 주민들이 많이 찾는 집이고 평일 점심에도 사람 많아서 예약하고 왔습니다,"<a href=""https://www.diningcode.com/profile.php?rid=2qKrS3p6BvT2"">Review - 서당골산채</a> ",4,4,CA01,IC01,SC01,2026-05-08 10:32,positive,0.9699,#정갈하고 가짓수도 많으면서#하나하나 맛있었어요#사람 많아서 예약하고
401,Review - 서당골산채,예약 후 사용하여 룸에서 식사했습니다식당 앞에 주차할 수 있긴하지만 자리가 협소합니다 식당에서 서부시장 주차장 1시간 지원해준다고 하네요음식은 정갈하고 깔끔합니다,"<a href=""https://www.diningcode.com/profile.php?rid=2qKrS3p6BvT2"">Review - 서당골산채</a> ",4,4,CA01,IC01,SC01,2026-05-08 10:32,negative,0.5827,#자리가 협소합니다#주차할 수 있긴하지만
402,Review - 서당골산채,"강릉 살때 회식 장소로도 왔었던 곳이어서 오랜만에 와봤어요. 주차장은 20대는 댈 것 같이 넉넉해 보이지만 식당 규모에 비해서는 좁은 편이에요. 2층짜리고, 방문당일에도 단체 예약이 많이 있더라구요.. 테이블이 엄청 많아요.정식B로 먹었는데, 찌개랑 메인요리 등 다 포함해서 반찬이 스무가지나 돼요. 종류가 많고, 최근 먹었던 솥밥 중에 양이 제일 푸짐해서 배부르게 먹었어요. 식탁에 비닐이 깔려있으면 맛집이라는 얘기가 있었는데, 그만큼 손님이 많이 온다는 얘기겠죠ㅎㅎ  메인요리들이 이미 해놓은 걸 담아오기만 한 것 같은 맛이 느껴지는게 딱 하나 아쉬웠어요.","<a href=""https://www.diningcode.com/profile.php?rid=2qKrS3p6BvT2"">Review - 서당골산채</a> ",4,4,CA01,IC01,SC01,2026-05-08 10:32,negative,0.5235,#식당 규모에 비해서는 좁은 편이에요#메인요리들이 이미 해놓은 걸 담아오기만 한 것 같은 맛
403,Review - 서당골산채,저역주민이 찾는 밥집.까끔하고 정갈하게 나옴.물가 상승탓인지 응식 퀄리티는 조금씩 떨어지는 것 같음,"<a href=""https://www.diningcode.com/profile.php?rid=2qKrS3p6BvT2"">Review - 서당골산채</a> ",4,4,CA01,IC01,SC01,2026-05-08 10:32,negative,0.8976,#응식 퀄리티#조금씩 떨어지는
404,Review - 서당골산채,주차공간 부족으로 인근 비호 유료주차장에 대고. 식사를 하니 정갈한 맛이다.20여종의 찬이 나무랄 것이. 맛있다.,"<a href=""https://www.diningcode.com/profile.php?rid=2qKrS3p6BvT2"">Review - 서당골산채</a> ",4,4,CA01,IC01,SC01,2026-05-08 10:32,positive,0.9318,#정갈한 맛이다#맛있다
